CBSA,MSA,n_lawyers,n_labeled_lawyers,n_zero_label_lawyers,Bankruptcy Law_normalized_1overN_count,Civil Litigation_normalized_1overN_count,Corporate / Business Law_normalized_1overN_count,Criminal Defense_normalized_1overN_count,Employment / Labor Law_normalized_1overN_count,Estate Planning / Probate / Trusts_normalized_1overN_count,Family Law_normalized_1overN_count,General Practice / Other_normalized_1overN_count,Immigration Law_normalized_1overN_count,Intellectual Property Law_normalized_1overN_count,Personal Injury / Torts_normalized_1overN_count,Real Estate Law_normalized_1overN_count,Tax Law_normalized_1overN_count
10180,"Abilene, TX",411,315,96,7.842063492063492,45.2265873015873,52.4515873015873,45.840873015873015,9.812301587301587,39.7265873015873,46.62539682539683,9.426190476190476,0.875,4.4,21.43968253968254,27.53253968253968,3.801190476190476
10420,"Akron, OH",3746,2739,1007,112.62853535353536,464.5376623376623,510.5698051948052,214.5011544011544,202.07972582972582,229.12178932178932,197.39368686868687,137.10631313131313,32.165079365079364,101.88643578643578,235.82734487734487,217.8027417027417,83.37972582972583
10500,"Albany, GA",411,322,89,22.941666666666666,60.87023809523809,37.85357142857143,30.66785714285714,27.435714285714287,23.378571428571426,27.386904761904763,8.583333333333334,3.2,2.025,37.17857142857143,30.20357142857143,10.275
10540,"Albany, OR",211,128,83,1.667857142857143,17.660714285714285,16.84404761904762,23.001190476190477,6.0928571428571425,17.794047619047618,15.094047619047618,7.126190476190476,0.25,0.8333333333333333,8.591666666666667,11.877380952380951,1.1666666666666665
10580,"Albany-Schenectady-Troy, NY",8645,4966,3679,102.08073593073593,1130.451370851371,1002.7176406926407,279.7021645021645,403.71565656565656,298.29065656565655,283.1926406926407,199.08113275613275,38.52619047619048,107.02301587301586,457.59343434343435,522.5370851370851,141.0882756132756
10740,"Albuquerque, NM",6520,4978,1542,146.07870185370186,1136.1204406704408,676.9736152736152,564.4914002664002,348.1585359085359,252.94302364302365,346.3319125319125,250.66369463869464,69.93342768342768,93.29720834720834,527.5271506271506,438.9759962259962,126.50489232989233
10780,"Alexandria, LA",717,472,245,14.994444444444444,101.86349206349206,52.43849206349206,30.991666666666667,37.078968253968256,30.66349206349206,33.25119047619047,21.35238095238095,5.136111111111111,3.533333333333333,97.78015873015873,35.913492063492065,7.002777777777777
10900,"Allentown-Bethlehem-Easton, PA-NJ",2276,1452,824,35.067496392496395,274.56233766233765,238.69209956709958,87.79642857142856,123.52186147186147,119.86948051948052,126.03852813852814,51.63333333333333,16.403210678210677,36.718686868686866,149.27781385281386,165.2992424242424,27.11948051948052
11020,"Altoona, PA",245,166,79,2.3027777777777776,32.7765873015873,17.400396825396825,14.397619047619047,14.66468253968254,21.817063492063493,18.44325396825397,9.75952380952381,0.0,1.1111111111111112,15.209920634920636,17.29206349206349,0.825
11100,"Amarillo, TX",847,700,147,22.025,112.19047619047619,162.5265873015873,103.76468253968254,26.761904761904763,60.34920634920635,51.33015873015873,9.965873015873015,6.6646825396825395,7.598412698412698,58.57698412698413,65.08968253968254,13.156349206349207
11180,"Ames, IA",290,120,170,2.7785714285714285,19.72142857142857,16.445238095238096,10.145238095238096,3.744047619047619,14.07857142857143,13.628571428571428,10.93452380952381,2.6666666666666665,4.25,4.595238095238095,13.402380952380952,3.6095238095238096
